Mode=early_first_window | dataset=baseline_dataset.npz | training_dir=koopman_training | history_days=5 | attack_rate_as_percent=True
-------------------------------------------------------------------------------------------------------------------------------------
run=0211 seed=69 | attack_rate real=0.60 vs pred=2.46 | peak_day real=5.00 vs pred=16.00
run=0212 seed=69 | attack_rate real=0.60 vs pred=2.46 | peak_day real=5.00 vs pred=16.00
run=0213 seed=69 | attack_rate real=0.60 vs pred=2.46 | peak_day real=5.00 vs pred=16.00
run=0214 seed=69 | attack_rate real=0.60 vs pred=2.46 | peak_day real=5.00 vs pred=16.00
run=0215 seed=69 | attack_rate real=0.60 vs pred=2.46 | peak_day real=5.00 vs pred=16.00
run=0216 seed=69 | attack_rate real=0.60 vs pred=2.46 | peak_day real=5.00 vs pred=16.00
run=0217 seed=69 | attack_rate real=0.60 vs pred=2.46 | peak_day real=5.00 vs pred=16.00
run=0218 seed=69 | attack_rate real=0.60 vs pred=2.46 | peak_day real=5.00 vs pred=16.00
run=0219 seed=69 | attack_rate real=0.60 vs pred=2.46 | peak_day real=5.00 vs pred=16.00
run=0220 seed=70 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0221 seed=70 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0222 seed=70 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0223 seed=70 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0224 seed=70 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0225 seed=70 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0226 seed=70 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0227 seed=70 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0228 seed=70 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0229 seed=70 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0230 seed=70 | attack_rate real=0.20 vs pred=0.63 | peak_day real=0.00 vs pred=11.00
run=0231 seed=71 | attack_rate real=63.20 vs pred=-11.22 | peak_day real=28.00 vs pred=12.00
run=0232 seed=71 | attack_rate real=63.20 vs pred=-11.22 | peak_day real=28.00 vs pred=12.00
run=0233 seed=71 | attack_rate real=63.20 vs pred=-11.22 | peak_day real=28.00 vs pred=12.00
run=0234 seed=71 | attack_rate real=63.20 vs pred=-11.22 | peak_day real=28.00 vs pred=12.00
run=0235 seed=71 | attack_rate real=63.20 vs pred=-11.22 | peak_day real=28.00 vs pred=12.00
run=0236 seed=71 | attack_rate real=63.20 vs pred=-11.22 | peak_day real=28.00 vs pred=12.00
run=0237 seed=71 | attack_rate real=63.20 vs pred=-11.22 | peak_day real=28.00 vs pred=12.00
run=0238 seed=71 | attack_rate real=63.20 vs pred=-11.22 | peak_day real=28.00 vs pred=12.00
run=0239 seed=71 | attack_rate real=63.20 vs pred=-11.22 | peak_day real=28.00 vs pred=12.00
run=0240 seed=71 | attack_rate real=63.20 vs pred=-11.22 | peak_day real=28.00 vs pred=12.00
run=0241 seed=71 | attack_rate real=63.20 vs pred=-11.22 | peak_day real=28.00 vs pred=12.00
run=0242 seed=72 | attack_rate real=74.80 vs pred=1.93 | peak_day real=34.00 vs pred=25.00
run=0243 seed=72 | attack_rate real=74.80 vs pred=1.93 | peak_day real=34.00 vs pred=25.00
run=0244 seed=72 | attack_rate real=74.80 vs pred=1.93 | peak_day real=34.00 vs pred=25.00
run=0245 seed=72 | attack_rate real=74.80 vs pred=1.93 | peak_day real=34.00 vs pred=25.00
